Date,Sales
2022-01-01,207.6227280493511
2022-01-02,198.37001608856832
2022-01-03,210.43117174020446
2022-01-04,223.83300193093177
2022-01-05,197.7467604217633
2022-01-06,198.01825943619409
2022-01-07,225.48945388443437
2022-01-08,213.58337497785962
2022-01-09,195.29992468660262
2022-01-10,210.75017124989145
2022-01-11,195.92972878393104
2022-01-12,196.1637148361411
2022-01-13,207.0471556490553
2022-01-14,174.9859220820738
2022-01-15,178.07805664353825
2022-01-16,195.78345444609675
2022-01-17,189.2904396020788
2022-01-18,209.46090232002072
2022-01-19,191.39021540903454
2022-01-20,184.0884551713325
2022-01-21,227.5191782465642
2022-01-22,202.40819232717578
2022-01-23,207.06705666486212
2022-01-24,184.94106706127315
2022-01-25,198.40351794540956
2022-01-26,208.4888328669878
2022-01-27,189.81454573274436
2022-01-28,212.96804950086
2022-01-29,198.57475785376496
2022-01-30,203.45927516987322
2022-01-31,199.05796519593417
2022-02-01,236.11511580112537
2022-02-02,208.37431539633712
2022-02-03,192.9553494931207
2022-02-04,221.40179301236236
2022-02-05,190.99189452852565
2022-02-06,212.67671549092114
2022-02-07,180.38616314073877
2022-02-08,190.09407816918903
2022-02-09,213.20360167290428
2022-02-10,221.55961679768828
2022-02-11,213.28315896750595
2022-02-12,209.20597038072253
2022-02-13,206.65020436961223
2022-02-14,189.21296315014416
2022-02-15,200.81509439381753
2022-02-16,204.9230356900406
2022-02-17,227.90717013461312
2022-02-18,217.42015548885104
2022-02-19,186.03361394453248
2022-02-20,217.55156813351113
2022-02-21,207.12289101792243
2022-02-22,202.9518039645261
2022-02-23,222.48494764239595
2022-02-24,228.9765952582249
2022-02-25,227.68020296487188
2022-02-26,201.31970731978166
2022-02-27,209.46429505831023
2022-02-28,219.26345626586829
2022-03-01,229.1171921397543
2022-03-02,207.48337195513272
2022-03-03,212.07050527862904
2022-03-04,198.44217886352953
2022-03-05,197.2733025867588
2022-03-06,227.58084925144323
2022-03-07,235.91046114954034
2022-03-08,214.65792467276162
2022-03-09,230.95958163648277
2022-03-10,221.49691583789405
2022-03-11,206.55862259210235
2022-03-12,221.81663394215684
2022-03-13,239.62374896612087
2022-03-14,216.17051313797654
2022-03-15,240.3294482756509
2022-03-16,177.71267769422883
2022-03-17,229.4836092237717
2022-03-18,218.6041379932455
2022-03-19,212.9538121021619
2022-03-20,218.9529424928492
2022-03-21,187.8977125787037
2022-03-22,214.54798012742765
2022-03-23,223.3286464455863
2022-03-24,240.26634670079346
2022-03-25,210.446931953813
2022-03-26,206.21369460362462
2022-03-27,210.93191468133256
2022-03-28,232.30352697630454
2022-03-29,223.61503570956665
2022-03-30,210.84568550417418
2022-03-31,226.59646273362608
2022-04-01,220.45601874672778
2022-04-02,233.6289755159554
2022-04-03,208.66499044731867
2022-04-04,214.37438293988208
2022-04-05,213.49826512617364
2022-04-06,197.51478227623215
2022-04-07,223.99398018370593
2022-04-08,223.54972963095727
2022-04-09,219.78938731742417
2022-04-10,216.2697300635787
2022-04-11,198.63090135265975
2022-04-12,213.62178989574113
2022-04-13,214.85784995305713
2022-04-14,208.02860707254507
2022-04-15,217.70478988622983
2022-04-16,226.2432703533848
2022-04-17,248.53086274952526
2022-04-18,222.9094560928187
2022-04-19,224.20392136141987
2022-04-20,219.27103012790698
2022-04-21,191.65039643008024
2022-04-22,220.0757112529055
2022-04-23,221.4155535132373
2022-04-24,257.49665743056437
2022-04-25,217.69580001112752
2022-04-26,225.1348964883308
2022-04-27,220.11878538364536
2022-04-28,203.1343920186126
2022-04-29,237.82935269601825
2022-04-30,231.98582405460309
2022-05-01,232.58951977369532
2022-05-02,207.09785916591625
2022-05-03,241.7926597499384
2022-05-04,199.73252293903315
2022-05-05,229.57018554734896
2022-05-06,253.62872775961216
2022-05-07,205.91596494128888
2022-05-08,212.2792414989819
2022-05-09,222.26578640418657
2022-05-10,213.21383084912304
2022-05-11,197.49863626207787
2022-05-12,221.7773585264316
2022-05-13,204.80242093803756
2022-05-14,227.82669553039756
2022-05-15,206.9150814556779
2022-05-16,243.93693484814733
2022-05-17,208.9184661707326
2022-05-18,215.81359827800364
2022-05-19,232.8224797514497
2022-05-20,202.12993914890325
2022-05-21,223.97600478104133
2022-05-22,240.14050651828134
2022-05-23,196.38847239142524
2022-05-24,223.23572000894094
2022-05-25,224.32812058442107
2022-05-26,232.11910394898263
2022-05-27,201.79763894394856
2022-05-28,200.50348706601952
2022-05-29,228.09623621293943
2022-05-30,224.6770414869722
2022-05-31,223.93324785772003
2022-06-01,225.32463034024767
2022-06-02,209.87810063074573
2022-06-03,223.51139755027785
2022-06-04,224.37140086022274
2022-06-05,209.20641024927522
2022-06-06,247.8533584990706
2022-06-07,226.91803136054716
2022-06-08,201.88356542960943
2022-06-09,229.5428325667529
2022-06-10,205.01459107141923
2022-06-11,231.38029726797956
2022-06-12,236.8911459631279
2022-06-13,207.13918143201386
2022-06-14,233.83633011230205
2022-06-15,225.51279053086668
2022-06-16,231.5865326779579
2022-06-17,247.64129282534685
2022-06-18,215.44160750004767
2022-06-19,207.74873068510496
2022-06-20,205.64376298441886
2022-06-21,206.68044360143216
2022-06-22,217.6916528253604
2022-06-23,223.895550956955
2022-06-24,222.85828874851788
2022-06-25,231.04494388139986
2022-06-26,218.76115539698063
2022-06-27,240.29778415659595
2022-06-28,214.45333129497394
2022-06-29,259.153947676584
2022-06-30,227.6645131988772
2022-07-01,205.35014973139099
2022-07-02,202.07210388710223
2022-07-03,225.30057495619548
2022-07-04,214.63961430467927
2022-07-05,228.6297517180936
2022-07-06,224.9466686044556
2022-07-07,216.68425297319297
2022-07-08,205.00363654248477
2022-07-09,194.91201346132522
2022-07-10,210.86655148487657
2022-07-11,230.34023646890213
2022-07-12,220.6361146700827
2022-07-13,198.66960611884357
2022-07-14,219.88495633194594
2022-07-15,222.99918298371733
2022-07-16,203.89441544801042
2022-07-17,219.3917326040714
2022-07-18,217.8933393827022
2022-07-19,199.81082931467265
2022-07-20,222.2582407227892
2022-07-21,225.24016462430257
2022-07-22,233.01209990766526
2022-07-23,232.5123126496393
2022-07-24,195.98025569376745
2022-07-25,202.5190460356629
2022-07-26,224.25423415458738
2022-07-27,224.1789826838564
2022-07-28,224.14264806446553
2022-07-29,274.15394149950737
2022-07-30,224.8737057503212
2022-07-31,233.29259938631924
2022-08-01,230.5193404255127
2022-08-02,225.93185875649388
2022-08-03,211.38514804683552
2022-08-04,227.45348591056467
2022-08-05,204.43293740760853
2022-08-06,212.4310541858728
2022-08-07,208.66258938448993
2022-08-08,217.13259717559836
2022-08-09,250.58758023710513
2022-08-10,187.82375514604047
2022-08-11,226.0935217735742
2022-08-12,191.57766070888596
2022-08-13,208.66013345454874
2022-08-14,232.04605412464812
2022-08-15,216.65068792433786
2022-08-16,199.49705425627027
2022-08-17,204.91249086827386
2022-08-18,225.81695147675592
2022-08-19,204.65057788828372
2022-08-20,218.83823630974013
2022-08-21,216.26243709466573
2022-08-22,205.79461153020674
2022-08-23,247.71982317305068
2022-08-24,225.06381204310418
2022-08-25,185.17460382905244
2022-08-26,218.34765487988062
2022-08-27,205.62555218374058
2022-08-28,228.34279878671384
2022-08-29,203.67490633321677
2022-08-30,213.8505861603019
2022-08-31,223.1578810206783
2022-09-01,228.58338868986615
2022-09-02,197.60917895255335
2022-09-03,210.61527083155585
2022-09-04,208.53039796282116
2022-09-05,205.87907449709246
